2026-04-22 14:06:10 | INFO | pipeline | load dataset
2026-04-22 14:06:10 | INFO | pipeline | npy root missing or empty; fallback to csv text embedding
2026-04-22 14:06:10 | INFO | pipeline | build view features
2026-04-22 14:06:10 | INFO | pipeline | building csv text embeddings for 16 views
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=profile_text shape=(20, 20) explained=0.9999999999999998
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=product_text shape=(20, 20) explained=0.9999999999999998
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=model_text shape=(20, 20) explained=0.9999999999999999
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=chain_text shape=(20, 20) explained=1.0000000000000002
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=theme_text shape=(20, 20) explained=0.9999999999999997
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=full_text shape=(20, 20) explained=1.0000000000000004
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=business_model_json shape=(20, 20) explained=0.9999999999999999
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=industry_chain_position_json shape=(20, 20) explained=0.9999999999999997
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=business_logic_json shape=(20, 20) explained=1.0
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=structural_themes_json shape=(20, 20) explained=0.9999999999999999
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=business_scope_keywords_json shape=(20, 20) explained=1.0000000000000002
2026-04-22 14:06:10 | INFO | pipeline | csv tfidf embedding built | view=core_products_services_json shape=(20, 20) explained=1.0000000000000002
2026-04-22 14:06:11 | INFO | pipeline | csv tfidf embedding built | view=application_scenarios_json shape=(20, 20) explained=1.0000000000000002
2026-04-22 14:06:11 | INFO | pipeline | csv tfidf embedding built | view=end_markets_json shape=(20, 20) explained=0.9999999999999999
2026-04-22 14:06:11 | INFO | pipeline | csv tfidf embedding built | view=customer_types_json shape=(20, 20) explained=1.0000000000000004
2026-04-22 14:06:11 | INFO | pipeline | csv tfidf embedding built | view=uncertainties_json shape=(20, 14) explained=1.0
2026-04-22 14:06:11 | INFO | pipeline | build anchor and quality features
