ts_code,trade_date,cluster_id,Size,Size_sw_neutral,LogSize_sw_neutral,NonlinearSize,NonlinearSize_sw_neutral,Value,Value_sw_neutral,Momentum,Momentum_sw_neutral,ShortReversal,ShortReversal_sw_neutral,Volatility,Volatility_sw_neutral,Liquidity,Liquidity_sw_neutral,Profitability,Profitability_sw_neutral,Growth,Growth_sw_neutral,Leverage,Leverage_sw_neutral,EarningsQuality,EarningsQuality_sw_neutral
000001.SZ,20260423,26,5.192439,0.93032783,1.3538256,5.192439,0.93032783,-0.57482284,-0.3312602,,,,,,,-0.9214592,-0.631307,0.041800234,0.081024736,-0.024641355,-1.4687352,2.5303092,-1.7672141,,
000002.SZ,20260423,91,0.7074212,2.3869684,1.9654819,0.7074212,2.3869684,-0.34622797,-0.29150653,,,,,,,-0.7521765,-0.6759857,-3.2020078,-2.9311826,-0.41636464,0.071031265,1.6415355,0.7865092,,
000006.SZ,20260423,13,-0.15573935,0.07805088,0.14294425,-0.15573935,0.07805088,-0.3072252,-0.19563456,,,,,,,-0.36377794,0.07032478,-0.7141019,-0.04426351,0.33765712,0.5388356,0.938097,0.12353908,,
000007.SZ,20260423,91,-0.37951207,-0.3439843,-0.3140528,-0.37951207,-0.3439843,0.072997905,0.14543024,,,,,,,-0.74277663,-0.68980724,-0.6754943,-0.58933526,0.26803696,0.45561194,0.2127551,-0.1527294,,
000008.SZ,20260423,91,-0.3124188,-0.17974737,-0.10812237,-0.3124188,-0.17974737,-0.25134528,-0.31169567,,,,,,,-0.5312314,-0.56741977,-1.9452516,-2.3992815,-0.22178356,-0.25806093,1.4872981,1.9018313,,
000009.SZ,20260423,95,0.10537785,0.09050063,0.19705279,0.10537785,0.09050063,1.288523,1.4595152,,,,,,,-0.7596732,-1.0214348,-0.0046026804,0.26470816,-0.06994129,-0.16136958,0.8000212,0.53566915,,
000010.SZ,20260423,69,-0.39247778,-0.34097818,-0.36272246,-0.39247778,-0.34097818,0.025441835,0.11417418,,,,,,,-0.09120214,0.0058811335,-1.0968962,-0.5896511,0.28439158,0.39754745,2.1886847,1.362022,,
000011.SZ,20260423,21,-0.37223032,-0.5010532,-0.52005625,-0.37223032,-0.5010532,0.25657234,1.1902252,,,,,,,-0.7389807,-0.6506298,-0.23276447,0.5142714,0.45923716,0.6142654,1.7552739,0.89370435,,
000012.SZ,20260423,91,-0.1429822,-0.05444899,-0.17420721,-0.1429822,-0.05444899,-0.33702293,-0.26792386,,,,,,,-0.7989751,-0.66117257,-0.6368033,-0.23767042,-0.3796955,-0.24648902,0.6414788,0.42505217,,
000014.SZ,20260423,69,-0.42119226,-0.6320243,-0.6153475,-0.42119226,-0.6320243,-0.27835777,-0.12467611,,,,,,,-0.46002904,-0.11462234,-2.0452724,-1.5889287,-4.587082,-2.516533,-0.77007663,-1.4863645,,
000016.SZ,20260423,91,-0.2990484,-0.22368553,-0.27382293,-0.2990484,-0.22368553,-0.37993413,-0.223246,,,,,,,-0.2170804,-0.11905847,-2.9303632,-3.5328796,0.18273692,0.21776462,2.728379,3.296844,,
000017.SZ,20260423,91,-0.3888367,-0.31973916,-0.47132832,-0.3888367,-0.31973916,0.096812084,0.29975438,,,,,,,-0.4680121,-0.31398588,0.25062767,0.07393145,0.8658934,1.0406803,-1.0999056,-0.9434578,,
000019.SZ,20260423,27,-0.2574334,-0.10932622,-0.32394183,-0.2574334,-0.10932622,-0.43939,-0.42368734,,,,,,,1.9258101,2.8573792,-0.20489448,0.19824716,0.022966363,-0.029482942,-0.5983639,-0.7914748,,
000020.SZ,20260423,27,-0.38894188,-0.51825756,-0.523606,-0.38894188,-0.51825756,0.19935106,-0.07397925,,,,,,,0.3008443,-0.11154325,-0.6856807,-0.66443133,-0.10204676,-0.23466602,-0.25080487,-0.01963369,,
000021.SZ,20260423,23,0.69936925,0.3218589,0.5709138,0.69936925,0.3218589,-0.33260632,-0.54411757,,,,,,,0.18405935,-0.21680787,-0.17376162,-0.13707006,0.09099722,-0.030385366,0.016578062,0.27435702,,
000025.SZ,20260423,93,-0.32525384,-0.2309002,-0.22084822,-0.32525384,-0.2309002,-0.30243003,-0.54415554,,,,,,,-0.7331758,-0.6002084,0.060041364,0.69404775,-0.06269822,-0.24570234,-0.78386617,-1.061223,,
000026.SZ,20260423,91,-0.31008184,0.107262745,0.085323155,-0.31008184,0.107262745,-0.11203127,0.0802008,,,,,,,1.3245236,1.5686959,0.21704897,0.036059517,-0.28312546,-0.2881209,-1.4102166,-1.3147982,,
000027.SZ,20260423,29,0.3918516,0.10301571,0.27297297,0.3918516,0.10301571,-0.52398175,-0.3257437,,,,,,,-0.24076517,-0.5866847,-0.1480424,-0.312772,0.06528179,-0.07044912,0.9125208,0.48113716,,
000028.SZ,20260423,21,-0.13459213,0.013237986,0.034082577,-0.13459213,0.013237986,-0.54814166,-0.5488667,,,,,,,-0.6004459,-0.3918927,-0.37924913,-0.9547714,0.3669534,0.4173136,0.6314804,1.290729,,
000029.SZ,20260423,90,0.04300817,0.60969204,0.52466017,0.04300817,0.60969204,0.68756574,2.249642,,,,,,,-0.8277246,-0.82115173,-0.005871985,0.77755314,1.0308278,0.9688872,-1.4095709,-2.0890691,,
000030.SZ,20260423,91,-0.2668373,-0.19174595,-0.13926667,-0.2668373,-0.19174595,-0.53994995,-0.44219658,,,,,,,-0.013264444,0.12148365,-0.7259872,-0.8003419,-0.07973206,-0.113354996,0.25583255,0.2313182,,
000031.SZ,20260423,80,-0.17534706,0.025601102,0.086938,-0.17534706,0.025601102,-0.34162572,-0.28019384,,,,,,,-0.83514726,-0.83541447,-0.15544657,0.6039896,0.07282378,0.37452975,1.5640961,0.7135249,,
000032.SZ,20260423,91,0.08825735,0.32434702,0.3745628,0.08825735,0.32434702,0.21748057,0.30159947,,,,,,,-0.6444214,-0.6018496,-0.88345,-0.37745824,-0.6774072,-0.49193364,1.9421071,1.1296327,,
000034.SZ,20260423,33,0.20405646,0.5236373,0.50232303,0.20405646,0.5236373,-0.3155407,-0.56017524,,,,,,,-0.46098068,-0.47373658,-0.7400551,-0.70565766,-0.10208037,0.014363374,1.773118,2.2510145,,
000035.SZ,20260423,33,-0.06297721,1.0491508,1.5120887,-0.06297721,1.0491508,-0.17876919,0.03138265,,,,,,,-0.5268011,-0.51371247,0.08153933,0.24656408,-0.06227054,0.031374823,1.0838999,0.7409482,,
000036.SZ,20260423,51,-0.31678194,-0.35273117,-0.31811377,-0.31678194,-0.35273117,0.54782885,1.9061574,,,,,,,-0.48852482,-0.1693772,0.525936,1.3946532,-0.010763766,0.32267103,-0.899397,-1.6082451,,
000037.SZ,20260423,91,-0.31969956,-0.46063435,-0.55211127,-0.31969956,-0.46063435,-0.24907117,-0.059806447,,,,,,,4.343533,2.449698,0.65123373,0.80278575,2.902998,3.3356533,-0.8505646,-1.550178,,
000039.SZ,20260423,77,1.1264052,2.5625114,0.98403853,1.1264052,2.5625114,0.9988028,0.94323355,,,,,,,-0.64042455,-0.6889748,-0.65207326,-0.88391036,-0.43727717,-0.47688305,0.8166751,1.1250087,,
