ts_code,cluster_id,cluster_distance
000001.SZ,26,0.719606
000002.SZ,91,0.72713965
000006.SZ,13,0.6499215
000007.SZ,91,0.73309594
000008.SZ,91,0.7711247
000009.SZ,95,0.6917749
000010.SZ,69,0.6282718
000011.SZ,21,0.84358674
000012.SZ,91,0.6671925
000014.SZ,69,0.7379375
000016.SZ,91,0.7490337
000017.SZ,91,0.7446879
000019.SZ,27,0.7446828
000020.SZ,27,0.77867955
000021.SZ,23,0.7401325
000025.SZ,93,0.6837742
000026.SZ,91,0.80493635
000027.SZ,29,0.7380131
000028.SZ,21,0.6869749
000029.SZ,90,0.5882569
000030.SZ,91,0.72469324
000031.SZ,80,0.6504494
000032.SZ,91,0.7188785
000034.SZ,33,0.66699666
000035.SZ,33,0.6439713
000036.SZ,51,0.6213114
000037.SZ,91,0.67844504
000039.SZ,77,0.63284415
000042.SZ,94,0.69410884
000045.SZ,91,0.70783216
000048.SZ,6,0.6324873
000049.SZ,43,0.6793233
000050.SZ,1,0.6914828
000055.SZ,22,0.7213818
000056.SZ,5,0.73613626
000058.SZ,91,0.71056825
000059.SZ,59,0.71942407
000060.SZ,15,0.72331643
000061.SZ,74,0.6477006
000062.SZ,57,0.77101296
000063.SZ,93,0.6758015
000065.SZ,52,0.64830637
000066.SZ,21,0.7101309
000068.SZ,33,0.6936039
000069.SZ,21,0.6462753
000070.SZ,91,0.7347711
000078.SZ,52,0.65449
000088.SZ,90,0.6190451
000089.SZ,94,0.59319395
000090.SZ,94,0.7386134
000096.SZ,91,0.6664418
000099.SZ,77,0.67196494
000100.SZ,94,0.66607904
000151.SZ,22,0.674461
000153.SZ,21,0.6731259
000155.SZ,12,0.677781
000156.SZ,74,0.7133843
000157.SZ,100,0.61168665
000158.SZ,5,0.6762016
000159.SZ,33,0.6917805
000166.SZ,57,0.7924124
000301.SZ,87,0.6783251
000333.SZ,1,0.6617492
000338.SZ,74,0.7927999
000400.SZ,91,0.7455876
000401.SZ,7,0.7234782
000402.SZ,19,0.73138916
000403.SZ,77,0.70492554
000404.SZ,74,0.700591
000407.SZ,33,0.70623577
000408.SZ,5,0.7173203
000409.SZ,90,0.74199593
000410.SZ,94,0.7175359
000411.SZ,91,0.77602166
000415.SZ,91,0.7270596
000417.SZ,87,0.6664465
000419.SZ,91,0.73268825
000420.SZ,15,0.82018983
000421.SZ,12,0.7200166
000422.SZ,5,0.6486897
000423.SZ,74,0.78257364
000425.SZ,76,0.6865865
000426.SZ,91,0.7928286
000428.SZ,91,0.74707013
000429.SZ,20,0.7648115
000498.SZ,21,0.7338066
000501.SZ,91,0.73026544
000503.SZ,40,0.70847327
000505.SZ,7,0.6940097
000506.SZ,27,0.7775309
000507.SZ,74,0.69018227
000509.SZ,94,0.6819938
000510.SZ,69,0.7038051
000513.SZ,15,0.7019661
000514.SZ,12,0.6999746
000516.SZ,91,0.746263
000517.SZ,40,0.7409338
000519.SZ,91,0.7307418
000520.SZ,94,0.6387068
000521.SZ,91,0.70609325
000523.SZ,12,0.6922841
000524.SZ,89,0.6907659
000525.SZ,94,0.7209762
000526.SZ,19,0.7428264
000528.SZ,53,0.545483
000529.SZ,91,0.80586207
000530.SZ,15,0.7090392
000531.SZ,59,0.74957263
000532.SZ,5,0.68496805
000533.SZ,57,0.7214874
000534.SZ,19,0.7592664
000536.SZ,77,0.6547899
000537.SZ,91,0.79759395
000538.SZ,5,0.7263509
000539.SZ,69,0.70881265
000541.SZ,22,0.6398673
000543.SZ,24,0.65705264
000544.SZ,12,0.6850037
000545.SZ,77,0.6690059
000546.SZ,80,0.7354355
000547.SZ,77,0.6239124
000548.SZ,51,0.6590621
000550.SZ,74,0.73393965
000551.SZ,74,0.6693072
000552.SZ,89,0.64818805
000553.SZ,91,0.6964773
000554.SZ,80,0.75278974
000555.SZ,95,0.7129495
000557.SZ,32,0.68138665
000558.SZ,15,0.7129481
000559.SZ,77,0.8108993
000560.SZ,33,0.7075299
000561.SZ,77,0.6865762
000563.SZ,91,0.76128995
000564.SZ,80,0.7079356
000565.SZ,91,0.82666665
000566.SZ,89,0.70658743
000567.SZ,91,0.79959005
000568.SZ,57,0.6933721
000570.SZ,69,0.7435921
000571.SZ,12,0.6573397
000572.SZ,91,0.74683404
000573.SZ,34,0.58493
000576.SZ,5,0.705895
000581.SZ,5,0.7645606
000582.SZ,80,0.7555269
000586.SZ,74,0.74921733
000589.SZ,89,0.64203817
000590.SZ,5,0.6895366
000591.SZ,94,0.6935565
000592.SZ,52,0.6634834
000593.SZ,53,0.52392566
000596.SZ,93,0.7482348
000597.SZ,24,0.5958217
000598.SZ,91,0.7832137
000599.SZ,77,0.6851303
000600.SZ,13,0.7075777
000601.SZ,34,0.67314315
000603.SZ,12,0.68330985
000605.SZ,21,0.761673
000607.SZ,53,0.5703275
000610.SZ,77,0.630387
000612.SZ,24,0.7605695
000617.SZ,74,0.6605954
000619.SZ,94,0.71456885
000620.SZ,91,0.6933052
000623.SZ,24,0.68116605
000625.SZ,91,0.70402956
000626.SZ,91,0.7253903
000628.SZ,32,0.7222447
000629.SZ,40,0.7136673
000630.SZ,91,0.7363598
000631.SZ,69,0.7007985
000632.SZ,11,3.1026343e-07
000633.SZ,12,0.71869314
000635.SZ,80,0.77887994
000636.SZ,57,0.7017342
000637.SZ,1,0.7069963
000639.SZ,74,0.6640611
000650.SZ,74,0.65146124
000651.SZ,91,0.77871263
000652.SZ,2,0.7262722
000655.SZ,74,0.67309874
000657.SZ,15,0.68884677
000659.SZ,93,0.62161714
000661.SZ,15,0.66172594
000663.SZ,33,0.75337344
000665.SZ,27,0.761283
000670.SZ,12,0.6685097
000672.SZ,19,0.70182943
000676.SZ,51,0.63204867
000677.SZ,74,0.66006804
000678.SZ,91,0.6589592
000679.SZ,74,0.6839987
000680.SZ,20,0.7808337
000681.SZ,2,0.78045547
000682.SZ,100,0.54746205
000683.SZ,21,0.6782487
000685.SZ,77,0.7152892
000686.SZ,61,0.6126203
000688.SZ,12,0.72016525
000690.SZ,74,0.7418695
000692.SZ,59,0.7137148
000695.SZ,87,0.66549265
000700.SZ,5,0.73092717
000701.SZ,91,0.76173246
000702.SZ,5,0.6986143
000703.SZ,59,0.7693428
000705.SZ,19,0.7027964
000707.SZ,15,0.7076722
000708.SZ,21,0.70850617
000709.SZ,102,0.74765915
000710.SZ,74,0.6789371
000712.SZ,77,0.6366959
000713.SZ,13,0.69537264
000715.SZ,77,0.6831033
000716.SZ,77,0.6466404
000717.SZ,74,0.69288677
000718.SZ,15,0.6781252
000719.SZ,80,0.6921138
000720.SZ,36,5.0504585e-08
000721.SZ,43,0.7014047
000722.SZ,87,0.6755719
000723.SZ,90,0.6596252
000725.SZ,15,0.6627391
000726.SZ,74,0.6764729
000727.SZ,74,0.73752654
000728.SZ,7,0.6366271
000729.SZ,21,0.66361076
000731.SZ,102,0.67206115
000733.SZ,15,0.79397815
000735.SZ,76,0.77055234
000737.SZ,27,0.7544135
000738.SZ,74,0.7430392
