ts_code,degree,weighted_degree,pagerank,eigenvector_centrality,betweenness_approx,clustering_coefficient,kcore_number,community_id,community_size,bridge_score,neighbor_style_dispersion,neighbor_avg_pct_chg,neighbor_avg_roe,semantic_industry_consistency
000001.SZ,9.433391,9.433391,9.9167315e-05,0.00018804062,0.3554164,0.48735633,1,26,39,0.8,0.0,0.25564998,3.73937,0.2
000002.SZ,44.825455,44.825455,0.00033739425,0.00018804062,0.41166636,0.21225226,1,91,229,0.7866667,0.0,-1.0610307,-17.63508,0.21333334
000006.SZ,10.924884,10.924884,0.00010872285,0.00018804062,0.38666636,0.33103448,1,13,40,0.73333335,0.0,-1.3403034,-23.698889,0.26666668
000007.SZ,19.40803,19.40803,0.00015674258,0.00018804062,0.38916636,0.3153153,1,91,229,0.6486486,0.0,-1.307973,-25.819246,0.35135135
000008.SZ,23.153173,23.153173,0.00017169575,0.00018804062,0.38833302,0.41532975,1,91,229,1.0,0.0,-1.24375,-30.107937,0.0
000009.SZ,15.728323,15.728323,0.00015052359,0.00018804062,0.36166638,0.23655914,1,95,151,0.58064514,0.0,-0.017467752,4.892538,0.41935483
000010.SZ,23.80009,23.80009,0.00018655715,0.00018804062,0.39499968,0.27210885,1,69,305,0.6122449,0.0,-1.1968387,-19.09879,0.3877551
000011.SZ,7.223291,7.223291,8.095885e-05,0.00018804062,0.37583303,0.16781609,1,21,149,0.96666664,0.0,-0.6321466,-11.668976,0.033333335
000012.SZ,17.486296,17.486296,0.00017035438,0.00018804062,0.37166637,0.1391129,1,91,229,0.375,0.0,-1.2700374,-2.278268,0.625
000014.SZ,20.525064,20.525064,0.00016799799,0.00018804062,0.39416635,0.43010753,1,69,305,0.7741935,0.0,-1.6192162,-23.588558,0.22580644
000016.SZ,25.602015,25.602015,0.00018548935,0.00018804062,0.39999968,0.34848484,1,91,229,0.7878788,0.0,-1.0675728,-31.107521,0.21212122
000017.SZ,13.134136,13.134136,0.00012740829,0.00018804062,0.38583302,0.23174603,1,91,229,0.8055556,0.0,-1.2731862,13.136239,0.19444445
000019.SZ,9.86971,9.86971,0.00010635909,0.00018804062,0.3774997,0.31264368,1,27,217,1.0,0.0,-0.30188,8.339623,0.0
000020.SZ,13.48111,13.48111,0.0001338549,0.00018804062,0.39999968,0.1996435,1,27,217,0.7647059,0.0,-2.1341295,-12.470431,0.23529412
