ts_code,name,industry,l1_name,close,pct_chg,roe,pe_ttm,cluster_id
000001.SZ,平安银行,银行,银行,11.0,0.1821,8.1514,6.891524,26
000002.SZ,万科Ａ,全国地产,房地产,3.81,-1.8041,-53.86618,47.4602,91
000006.SZ,深振业Ａ,区域地产,房地产,9.72,-0.4098,-0.7851,47.4602,13
000007.SZ,全新好,其他商业,商贸零售,13.68,-1.1561,1.8888,83.6413,91
000008.SZ,神州高铁,运输设备,机械设备,2.67,-1.1111,-32.0108,57.75575,91
000009.SZ,中国宝安,电气设备,电力设备,8.88,-1.0033,2.8333,324.9714,95
000010.SZ,美丽生态,建筑工程,建筑装饰,3.7,-0.8043,-10.156,94.2167,69
000011.SZ,深物业A,房产服务,房地产,8.41,-0.1188,1.003,147.917,21
000012.SZ,南玻Ａ,玻璃,建筑材料,4.47,-0.8869,1.123,47.81715,91
000014.SZ,沙河股份,全国地产,房地产,13.13,-1.2039,-9.7107,47.4602,69
000016.SZ,深康佳Ａ,家用电器,家用电器,3.22,-5.0147,-53.86618,35.6124,91
000017.SZ,深中华A,服饰,纺织服饰,6.37,-1.849,11.2989,106.7395,91
000019.SZ,深粮控股,农业综合,农林牧渔,8.08,4.9351,4.9154,28.718,27
000020.SZ,深华发Ａ,元器件,电子,15.49,-2.4559,1.178,126.3286,27
000021.SZ,深科技,元器件,电子,28.73,-2.4779,6.1412,44.0661,23
000025.SZ,特力Ａ,综合类,综合,15.71,-1.3191,8.0408,47.4007,93
000026.SZ,飞亚达,服饰,纺织服饰,18.09,3.9655,2.5955,84.0638,91
000027.SZ,深圳能源,火力发电,公用事业,7.07,2.3155,4.2601,15.9911,29
000028.SZ,国药一致,医药商业,医药生物,25.0,-0.7543,6.2621,12.7024,21
000029.SZ,深深房Ａ,区域地产,房地产,20.33,0.9434,2.806,205.761,90
000030.SZ,富奥股份,汽车配件,汽车,5.21,-2.4345,1.4712,13.4939,91
000031.SZ,大悦城,全国地产,房地产,2.89,-0.3448,-5.1423,47.4602,80
000032.SZ,深桑达Ａ,建筑工程,建筑装饰,18.32,-0.5969,-4.7374,141.3303,91
000034.SZ,神州数码,软件服务,计算机,36.69,-2.0032,5.1645,50.8657,33
000035.SZ,中国天楹,环境保护,环保,6.95,-0.9972,2.8896,72.2011,33
000036.SZ,华联控股,全国地产,房地产,5.05,-1.3672,0.7023,182.9987,51
000037.SZ,深南电A,火力发电,公用事业,11.58,2.6596,10.1828,43.3437,91
000039.SZ,中集集团,运输设备,机械设备,11.34,-2.2414,0.4329,276.9277,77
000042.SZ,中洲控股,全国地产,房地产,9.05,0.3326,-32.1737,47.4602,94
000045.SZ,深纺织Ａ,元器件,电子,11.82,-1.005,2.3069,87.5067,91
000048.SZ,京基智农,农业综合,农林牧渔,14.55,-1.5562,3.6504,50.4919,6
000049.SZ,德赛电池,电气设备,电力设备,28.77,-4.6404,4.3934,34.2046,43
000050.SZ,深天马Ａ,元器件,电子,8.32,-2.1176,0.6142,122.1709,1
000055.SZ,方大集团,其他建材,建筑材料,3.39,0.0,-8.8226,47.81715,22
000056.SZ,皇庭国际,其他商业,房地产,1.93,-2.5253,0.17500001,47.4602,5
000058.SZ,深赛格,商品城,商贸零售,8.07,-0.6158,3.452,143.1778,91
